 ÜRÜN GÖRSELİ; ÜRÜN STOK KODU;ÜRÜN KATEGORİ GRUBU;ÜRÜN DETAYI (mm);ÜRÜN DETAYI (Boy);ÜRÜN GRAMI;ÜRÜN GÖZ SAYISI ;ÜRÜN AÇIKLAMASI;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
;1115915;ÜSTTEN DİKME DÜĞME;15 mm;24;3.6;BELİRTİLMEMİŞ;;;;;;
;1116913;ALTTAN DİKME DÜĞME;13;21;?;?;;;;;;
;1116915;ALTTAN DİKME DÜĞME;15mm;24;?;?;;;;;;
;1116917;ALTTAN DİKME DÜĞME;17;27;?;?;;;;;;
;111613t;ALTTAN DİKME DÜĞME;13tmm;21;?;?;;;;;;
;1116915;ALTTAN DİKME DÜĞME;15tmm;24;?;?;;;;;;
;1116917;ALTTAN DİKME DÜĞME; 17T mm;27;/3,3GR;BELİRTİLMEMİŞ;;;;;;
;1117011;TOKA;11 mm;18;1.2;BELİRTİLMEMİŞ;;;;;;
;1118023;TOKA;23 mm;37;2.82;12;;;;;;
;111911;TOKA;11mm;18;?;?;;;;;;
;111913;TOKA;13mm;21;?;?;;;;;;
;111915;TOKA;15mm;24;?;?;;;;;;
;111917;TOKA;17mm;27;?;?;;;;;;
;111919;TOKA;19mm;30;?;?;;;;;;
;111921;TOKA;21mm;34;?;?;;;;;;
;111923;TOKA;23mm;37;?;?;;;;;;
;111925;TOKA;25mm;40;?;?;;;;;;
;111930;TOKA;30mm;48;?;?;;;;;;
;"111935
";TOKA;35 mm;56;BELİRTİLMEMİŞ;BELİRTİLMEMİŞ;;;;;;
;1120208;RİVET;08 mm;13;0.5;BELİRTİLMEMİŞ;;;;;;
;1121025;TOKA;25 mm;40;12.1;BELİRTİLMEMİŞ;;;;;;
;112202;TOKA;2cm;;9.5;BELİRTİLMEMİŞ;;;;;;
;1123035;TOKA;35 mm;56;2.5;BELİRTİLMEMİŞ;;;;;;
;1124020;TOKA;20 mm;32;2.6;5;;;;;;
;1125822;SALLANTI;22 mm;35;1.3;6;;;;;;
;1126812;SALLANTI;12 mm;19;2.2;BELİRTİLMEMİŞ;;;;;;
;1127620;ÇAKMA DÜĞME;20 mm;32;ÜRÜN YPK;ÜRÜN YOK ;;;;;;
;1128025;TOKA;25 mm;40;14.2;BELİRTİLMEMİŞ;;;;;;
YOK;1129017;TOKA;17mm;;22.1;BELİRTİLMEMİŞ;;;;;;
;1130030;TOKA;30 mm;48;1.3;BELİRTİLMEMİŞ;;;;;;
;1131023;TOKA;23 mm;37;1.6;BELİRTİLMEMİŞ;;;;;;
;1132030;TOKA;30 mm;48;1.6;BELİRTİLMEMİŞ;;;;;;
;1133015;ALTTAN DİKME DÜĞME;15 mm;24;2.2;BELİRTİLMEMİŞ;;;;;;
;1134207;RİVET;07 mm;11;0.5;BELİRTİLMEMİŞ;;;;;;
;1135618;RİVET;09 mm;14;0.6;BELİRTİLMEMİŞ;;;;;;
;1135 209;ÇAKMA DÜĞME;18 mm;29;3.7;BELİRTİLMEMİŞ;;;;;;
;113604;AKSESUAR;4cm;;8.8;4;;;;;;
;113704;AKSESUAR;4cm;;9.5;4;;;;;;
;1138013;ALTTAN DİKME DÜĞME;13 mm;21;1.82;16;;;;;;
;1139915;ÜSTTEN DİKME DÜĞME;15mm;24;?;2;;;;;;
;113911;ÜSTTEN DİKME DÜĞME;11 mm;18;ÜRÜN YOK ;14GÖZ;;;;;;
;114043;TOKA;43 mm;69;14.7;2;;;;;;
;1141820;SALLANTI;20 mm;32;3.1;BELİRTİLMEMİŞ;;;;;;
;1142717;ÇIT ÇIT;17mm;27;;;;;;;;
;1142720;ÇIT ÇIT;20mm;32;2.3;;;;;;;
;1142725;ÇIT ÇIT; 25 mm; 40 Boy ;2.6;BELİRTİLMEMİŞ;;;;;;
;1143023;TOKA;23 mm;37;3.1;BELİRTİLMEMİŞ;;;;;;
;"1144015
";TOKA;15mm;;0,5GR METAL3,2 GR;BELİRTİLMEMİŞ;;;;;;
;1145020;ALTTAN DİKME DÜĞME;20mm;;?;?;;;;;;
;1145015;ALTTAN DİKME DÜĞME;15mm;;?;?;;;;;;
;1145012;ALTTAN DİKME DÜĞME;12 mm;19;?;32/12/24;;;;;;
;1146015;TOKA;15 mm;24;1.1;BELİRTİLMEMİŞ;;;;;;
;11471016;TOKA;16 mm;26;2.4;BELİRTİLMEMİŞ;;;;;;
;114820;TOKA;20 mm;32;4GR;BELİRTİLMEMİŞ;;;;;;
;1149010;ALTTAN DİKME DÜĞME;10 mm;16;0.8;BELİRTİLMEMİŞ;;;;;;
;1150050;TOKA;50 mm;80;1.6;BELİRTİLMEMİŞ;;;;;;
;1151048;TOKA;48 mm;77;8.6;BELİRTİLMEMİŞ;;;;;;
;1152025;TOKA;25 mm;40;19.3;BELİRTİLMEMİŞ;;;;;;
;1153028;TOKA;28 mm;45;15.5;BELİRTİLMEMİŞ;;;;;;
;1153029;TOKA;"29 mm
";46;16.4;BELİRTİLMEMİŞ;;;;;;
;115405;TOKA;50mm;;28.4;BELİRTİLMEMİŞ;;;;;;
;1155;TOKA;ÜRÜN YOK ;;ÜRÜN YOK ;ÜRÜN YOK ;;;;;;
;115603;TOKA;30mm;;4.3;BELİRTİLMEMİŞ;;;;;;
;115704;TOKA;40mm;;10.5;BELİRTİLMEMİŞ;;;;;;
;115805;PLAKA;50mm;;20.9;BELİRTİLMEMİŞ;;;;;;
;1159025;TOKA;25 mm;40;16;BELİRTİLMEMİŞ;;;;;;
;1160020;TOKA;20 mm;32;10.4;4;yok;;;;;
;1161010;TOKA;10 mm;16 Boy  ;BELİRTİLMEMİŞ;BELİRTİLMEMİŞ;yok;;;;;
;1162;TOKA;?;;resimde yazıyor;1;yok;;;;;
;1163025;TOKA;25mm;;6;BELİRTİLMEMİŞ;yok;;;;;
;1164033;TOKA;33mm;;2.7;BELİRTİLMEMİŞ;;;;;;
;1165030  024;TOKA;24 mm / 30 mm;38       48 ;18.6;BELİRTİLMEMİŞ;;;;;;
;1166 ZİNCİR;TOKA;ÜRÜN YOK ;;15.9;BELİRTİLMEMİŞ;;;;;;
;1167009;ALTTAN DİKME DÜĞME;09 mm;14;0.8;BELİRTİLMEMİŞ;yok;;;;;
;1168810 X 7;SALLANTI;10x7 mm;16;1.2;16;;;;;;
;1169025;TOKA;25 mm;40;1.6;24;;;;;;
;1170912;ÜSTTEN DİKME DÜĞME;12 mm;19;0.8;BELİRTİLMEMİŞ;;;;;;
;1171;TOKA;?;;5,8+5,7=11,5;BELİRTİLMEMİŞ;;;;;;
;1172052;TOKA;52mm;83;2.5;BELİRTİLMEMİŞ;;;;;;
;1172034;TOKA;34mm;54;1.8;BELİRTİLMEMİŞ;;;;;;
;1172029;TOKA; 29mm;46;1.5;BELİRTİLMEMİŞ;;;;;;
;1173011;ALTTAN DİKME DÜĞME;11 mm;18;0.8;36;;;;;;
;1174009;ALTTAN DİKME DÜĞME;09 mm;14;0.7;BELİRTİLMEMİŞ;;;;;;
;1175012;TOKA;12 mm;19;0.7;20;;;;;;
;1176013;TOKA;13 mm;21;0.8;BELİRTİLMEMİŞ;;;;;;
;1177021;TOKA;21 mm;34;8.9;BELİRTİLMEMİŞ;;;;;;
;1178020;TOKA;20 mm;32;3.7;BELİRTİLMEMİŞ;;;;;;
;1179027;TOKA;27 mm;43;5.3;BELİRTİLMEMİŞ;;;;;;
;1180070;TOKA;70 mm;112;16.3;BELİRTİLMEMİŞ;;;;;;
;1181_050 / 016;TOKA;16 mm / 50 mm;26       80 ;46.6;BELİRTİLMEMİŞ;;;;;;
;1182014;SALLANTI;14 mm;22;1.5;BELİRTİLMEMİŞ;;;;;;
;1183011;ALTTAN DİKME DÜĞME;11 mm;18;1.1;BELİRTİLMEMİŞ;;;;;;
;1184016;ALTTAN DİKME DÜĞME;16 mm;26;"Kafa-3,4
Zemin-3,2
    Toplam-6,6 gr";BELİRTİLMEMİŞ;;;;;;
;1185010;TOKA;10mm;16;2.2;16;;;;;;
;1185014;TOKA; 14 mm;22;"
2,4";12;;;;;;
;1186018;ALTTAN DİKME DÜĞME;18 mm;29;1.5;BELİRTİLMEMİŞ;;;;;;
;1187035;ALTTAN DİKME DÜĞME;35 mm;56;3.2;BELİRTİLMEMİŞ;;;;;;
;1188910;ÜSTTEN DİKME DÜĞME;10 mm;16;0.6;BELİRTİLMEMİŞ;;;;;;
;1189139;RİVET;39 mm;62;4.7;BELİRTİLMEMİŞ;;;;;;
;1190056;TOKA;56 mm;90;16.6;BELİRTİLMEMİŞ;yok;;;;;
;1191735;TOKA;35 mm;56;14.2;BELİRTİLMEMİŞ;;;;;;
;1192011;TOKA;11 mm;18;1.1;14;;;;;;
?;1193 A;SALLANTI;?;;1.1;BELİRTİLMEMİŞ;;;;;;
;1194011;SALLANTI;YUNUS14MM DENİZ KABUK 11MM DÜMEN 12MM;;"Balık=1,7
Deniz K=1,3
Dümen =1,3";BELİRTİLMEMİŞ;;;;;;
;1195023;ALTTAN DİKME DÜĞME;23 mm;37;3.4;10;;;;;;
;1196011;ALTTAN DİKME DÜĞME;11 mm;18;1;24;;;;;;
;1197808;SALLANTI;08 mm;13;1.4;BELİRTİLMEMİŞ;;;;;;
;1198807;SALLANTI;07 mm;11;1;42;;;;;;
;1199805;SALLANTI;05 mm;8;1.1;16;;;;;;
;1200010;ALTTAN DİKME DÜĞME;10 mm;16;0.9;BELİRTİLMEMİŞ;;;;;;
;1201023;ALTTAN DİKME DÜĞME;23 mm;37;3.6;BELİRTİLMEMİŞ;;;;;;
;1202718;ÇIT ÇIT;18mm;29;?;?;;;;;;
;1202715;ÇIT ÇIT;15 mm;24;?;?;;;;;;
;1203020;ÜRÜN YOK;20 mm;32;ÜRÜN YOK;ÜRÜN YOK ;yok;;;;;
;1204012;BAĞ UCU;12mm;19;5.9;;;;;;;
;1204014;BAĞ UCU;14 mm;22; 6,8 gr;8;;;;;;
;1205036;TOKA;36mm;;7.8;4;;;;;;
;1206040;TOKA;40mm;;13.9;BELİRTİLMEMİŞ;;;;;;
;1207006;TOKA;06mm;10;18.7;?;;;;;;
;1207005;TOKA;05mm;8;15.8;?;;;;;;
;1207004;TOKA;04mm;6;13.3;?;;;;;;
;1207003;TOKA;03 mm ;5;?;?;;;;;;
;1208720;ÇIT ÇIT;20 mm;32;4.2;BELİRTİLMEMİŞ;;;;;;
;1209009;ALTTAN DİKME DÜĞME;09 mm;14;0.5;BELİRTİLMEMİŞ;;;;;;
;1210041;TOKA;41 mm;66;15.5;BELİRTİLMEMİŞ;;;;;;
;1211040;TOKA;40 mm;64;17.1;2;;;;;;
;1212020;TOKA;20 mm;32;5.2;8;;;;;;
;1213032;TOKA;32mm;;10.1;BELİRTİLMEMİŞ;;;;;;
;1214910;ÜSTTEN DİKME DÜĞME;10 mm;16;0.8;66;;;;;;
;1215811;TOKA;11x8 mm;18;1.9;12;;;;;;
;1216008;TOKA;08 mm;13;0.2;BELİRTİLMEMİŞ;;;;;;
;1217020;TOKA;20 mm;32;1.7;BELİRTİLMEMİŞ;;;;;;
;1218020;ÜRÜN YOK;20 mm;32;ÜRÜN YOK;ÜRÜN YOK ;yok;;;;;
;1219007;ALTTAN DİKME DÜĞME;07 mm;11;0.43;BELİRTİLMEMİŞ;;;;;;
ÜRÜN YOK ;1220009;ÜRÜN YOK;09 mm;14;?;?;yok;;;;;
;1221809;TOKA;09 mm;14;1.1;16;;;;;;
;1222020;TOKA;20 mm;32;11.7;BELİRTİLMEMİŞ;;;;;;
;1223018;TOKA;18 mm;29;4.1;BELİRTİLMEMİŞ;;;;;;
;1224018;TOKA;18 mm;29;4.1;16;;;;;;
;1225006;ALTTAN DİKME DÜĞME;06 mm;10;0.3;BELİRTİLMEMİŞ;yok;;;;;
;1226030;TOKA;30 mm;48;18;2;yok;;;;;
;1227028;TOKA;28 mm;45;21;2;;;;;;
;1228;TOKA;BELİRTİLMEMİŞ;BELİRTİLMEMİŞ;BELİRTİLMEMİŞ;BELİRTİLMEMİŞ;yok;;;;;
;1229;ALTTAN DİKME DÜĞME;BELİRTİLMEMİŞ;;4.9;BELİRTİLMEMİŞ;yok;;;;;
;1230052;TOKA;52mm;;15.8;BELİRTİLMEMİŞ;yok;;;;;
;12311024;TOKA;24 mm;38;15.3;BELİRTİLMEMİŞ;;;;;;
;1232020;ALTTAN DİKME DÜĞME;20mm;32;3.1;?;;;;;;
;1232015;ALTTAN DİKME DÜĞME;15 mm ;24;"1,7 
";?;;;;;;
;1233030;TOKA;30mm;48;?;?;;;;;;
;1233045;TOKA;45mm;72;?;?;;;;;;
;1233040;TOKA; 40 mm;64;10.6;?;;;;;;
;1234044;?;44 mm;70;3;BELİRTİLMEMİŞ;yok;;;;;
;1235024;ALTTAN DİKME DÜĞME;24 mm;38;0.3;BELİRTİLMEMİŞ;;;;;;
;1236018;TOKA;18 mm;29;7.2;BELİRTİLMEMİŞ;;;;;;
;1237024;TOKA;24 mm;38;4.6;BELİRTİLMEMİŞ;;;;;;
;1238109;RİVET;09 mm;14;0.8;BELİRTİLMEMİŞ;;;;;;
;1239205;RİVET;05 mm;8;0.01;120;;;;;;
;1240008;TOKA;08 mm;13;1.2;24;;;;;;
;1241014 X 7;TOKA;14x7 mm;22;2.7;6;;;;;;
;1242816;SALLANTI;16 mm;26;1.1;BELİRTİLMEMİŞ;;;;;;
;1243806;SALLANTI;06 mm;10;0.5;56;;;;;;
;1244006;SALLANTI;6mm;;1;BELİRTİLMEMİŞ;;;;;;
;1245015;TOKA;15mm;;3.1;BELİRTİLMEMİŞ;;;;;;
;1246008;TOKA;08 mm;13;1.9;BELİRTİLMEMİŞ;;;;;;
;1247023;TOKA;23 mm;37;?;8;yok;;;;;
;"1248010
";TOKA;10 mm;16;1.3;48;;;;;;
;"1249106
     ";RİVET;06 mm;10;ÜRÜN YOK ;120;;;;;;
;"1250105,5 
";RİVET;06 mm;10;0.6;120;;;;;;
;1251015;ALTTAN DİKME DÜĞME;15mm;24;1.6;?;;;;;;
;1251010;ALTTAN DİKME DÜĞME;10mm;16;0.9;?;;;;;;
;1251009;ALTTAN DİKME DÜĞME;9mm;14;0.7;?;;;;;;
;1251023;ALTTAN DİKME DÜĞME;23mm;37;3.9;?;;;;;;
;1252015;TOKA;15 mm;24;4.4;8;;;;;;
;1253015;TOKA;15 mm;24;4.5;12;yok;;;;;
;1254021-Y;TOKA;21 mm;34;1;18;;;;;;
;1255011;ÜSTTEN DİKME DÜĞME;11mm;18;0.7;;;;;;;
;1255010;ÜSTTEN DİKME DÜĞME;10 mm ;16;"0,5 
";48;;;;;;
;1256014;ÇANTA TOKASI;14 mm;22;?;12;yok;;;;;
;1257020;TOKA;20mm;32;?;?;;;;;;
;"1257025
";TOKA; 25 mm;40;13.2;8;;;;;;
;1258025;TOKA;25 mm;40;19.3;4;yok;;;;;
;1259035;TOKA;35 mm;56;29.7;BELİRTİLMEMİŞ;yok;;;;;
;"1260008
(mineli düğme)";ALTTAN DİKME DÜĞME;08 mm;13;0.5;24;;;;;;
;1261108;RİVET;08 mm;13;0,8+0,4 =1,2;12+12;;;;;;
;1262007;ALTTAN DİKME DÜĞME;07 mm;11;0.7;24;;;;;;
;1263020;TOKA;20 mm;32;2.3;12;;;;;;
;126403.5;TOKA;3,5cm;;4.4;BELİRTİLMEMİŞ;;;;;;
YOK;1265013;YAKALIK;13 mm;21;9.2;?;;;;;;
;1266006;TOKA;6cm;;7.7;4;;;;;;
?;1267;?;ÜRÜN YOK ;;?;?;;;;;;
;1268050;TOKA;50mm;80;21.7;BELİRTİLMEMİŞ;;;;;;
;1268030;TOKA;30mm;48;8.4;8;;;;;;
;1268020;TOKA;20 mm;32;"8,1 gr
";8;;;;;;
;1269019;TOKA;19mm;;1.5;BELİRTİLMEMİŞ;;;;;;
;1270020;TOKA;20 mm;32;2.4;12;yok;;;;;
;1271023;ÇIT ÇIT;23 mm;37;5;BELİRTİLMEMİŞ;;;;;;
;1272008;ALTTAN DİKME DÜĞME;08 mm;13;0.5;24;;;;;;
;1273011;TOKA;11 mm;18;?;?;;;;;;
;1274107;RİVET;07mm;11;;120;;;;;;
;1274109;RİVET;09 mm;14;0.6 ; 109;yok;;;;;
;1275105;RİVET;05mm;8;;;;;;;;
;1275106;RİVET; 06 mm;10;0.5;120;yok;;;;;
;1276020;TOKA;20mm;;13.5;BELİRTİLMEMİŞ;yok;;;;;
;"127704
(set)";TOKA;4cm;;32+42=74;BELİRTİLMEMİŞ;yok;;;;;
;1278020;TOKA;20 mm / 3,3mm;32;3.8;24;;;;;;
;1279010;TOKA;10 mm / 1,5mm;16;0.5;40;;;;;;
;1280805;TOKA;05 mm;8;1.1;16;;;;;;
;128104.5;PİRSİNG;4,5cm;;9.3;4;;;;;;
;128204;ELCİK;4cm;;6.5;6;;;;;;
;1283020;TOKA;20 mm / 5mm;32;3.7;18;yok;;;;;
;1284025;TOKA;25 mm / 5mm;40;12.3;20;;;;;;
;128505;TOKA;5mm;?;?;?;;;;;;
;1285020;TOKA;20mm;32;?;?;;;;;;
;1285025;TOKA; 25 mm;40;13.2;20;;;;;;
;128602.5;TOKA;2,5cm;;8.2;20;;;;;;
;1287030;PAPAĞAN;30mm;;17.6;8;yok;;;;;
;1288020-25;KÖPRÜ;20 mm / 25 mm;32    40 ;7.2;20;;;;;;
;1289025;KÖPRÜ;25 mm;40;4.3;40;;;;;;
;1289-PUL;PUL;36.8;;3.1;10;;;;;;
;1290722;ÇIT ÇIT;22 mm;35;2.7;4+4;;;;;;
;1291024;KUŞGÖZÜ;24 mm;38;6.9;20+20;;;;;;
;1292020;TOKA;20mm;32;4.2;20;;;;;;
;1292025;TOKA; 25 mm;40;4.1;24 ;;;;;;
;1293036;ELCİK;36mm;;4.1;8;;;;;;
;1294107;TROP;07 mm;11;0.6;120;;;;;;
;1295025;TOKA;25 mm;40;6.7;16;;;;;;
;129603;ÇANTA TOKASI;3cm;;5.8;20;;;;;;
;1297025;TOKA;25 mm;40;2.3;24;;;;;;
;1298020;TOKA;20mm;32;12.5;16;;;;;;
;1298025;TOKA;25 mm ;40; ?; 16;;;;;;
;1299020;TOKA;20 mm;32;2.1;24;;;;;;
;1300034;ELCİK;34mm;;3.6;"Eski 24
Yeni 20";;;;;;
;1301;TOKA;ÜRÜN YOK ;;ÜRÜN YOK ;ÜRÜN YOK ;;;;;;
;1302106;TROP;06 mm;10;0.2;8+120 göz olacak;;;;;;
;1303024;TOKA;24 mm / 3mm;38;4.4;24;;;;;;
;1304020;TOKA;20 mm / 5mm;32;10.5;26;;;;;;
;1305040;TOKA;40 mm / 3,3mm;64;8.7;12;;;;;;
;1306035;TOKA;35 mm / 3,3mm;56;8.1;12;;;;;;
;1307039;TOKA;39 mm / 3,5mm;62;7.8;16;;;;;;
;1308020;TOKA;20 mm / 3,3mm;32;7.7;26;;;;;;
;1309020;TOKA;20 mm / 3mm;32;3.9;26;;;;;;
;1310025;TOKA;25 mm / 3mm;40;4.7;26;;;;;;
;1311025;TOKA;25 mm / 3mm;40;4;26;;;;;;
;1312020;TOKA;20 mm / 3,25mm;32;4.4;24;;;;;;
;1313015;TOKA;15 mm / 1,85mm;24;1.1;42;;;;;;
;1314810;SALLANTI;10 mm;16;1.6;BELİRTİLMEMİŞ;;;;;;
;1315028;ÇANTA TOKASI;28mm;;2.5;20;;;;;;
;1316012;AGRAF;12 mm;19;1.4;32     24;;;;;;
;1317032;PLAKA;32mm;;2;24;;;;;;
;1318049;PLAKA;49mm;;6.5;16;;;;;;
;1319080;ELCİK;8mm;;1.3;20;;;;;;
;1320;ELCİK;ÜRÜN YOK ;;ÜRÜN YOK ;ÜRÜN YOK ;;;;;;
;132103;TOKA;30mm;;8.2;BELİRTİLMEMİŞ;;;;;;
;132203;TOKA;30mm;;4;16;;;;;;
;132302.5;ÇANTA TOKASI;25mm;;12;BELİRTİLMEMİŞ;;;;;;
;1324019;ALTTAN DİKME DÜĞME;19 mm;30;1.5;28;;;;;;
;1325910;ÜSTTEN DİKME DÜĞME;10 mm;16;0.7;40;;;;;;
;1326027;TOKA;27mm;;4.7;BELİRTİLMEMİŞ;;;;;;
;1327810;BAĞ UCU;10 mm;16;1.6;24;;;;;;
;1328021;TOKA;21mm;;1,3+0,6=1,9GR;BELİRTİLMEMİŞ;;;;;;
;1329;YAKALIK;ÜRÜN YOK ;;ÜRÜN YOK ;ÜRÜN YOK ;;;;;;
;133003;PAPAĞAN;30mm;;17.9;BELİRTİLMEMİŞ;;;;;;
;1331019;PAPAĞAN;19mm;;9.6;8;;;;;;
;1332;TOKA;ÜRÜN YOK ;;8.4;8;;;;;;
;133301;TOKA;10mm;;2.6;8;;;;;;
;133402;TOKA;20mm;;5;8;;;;;;
;133502;KÖPRÜ;20mm;;2.9;20;;;;;;
ÜRÜN YOK ;1336;ÇIT ÇIT;?;;?;?;;;;;;
;1337032;PLAKA;32mm;;11.4;BELİRTİLMEMİŞ;;;;;;
;1338025;TOKA;25mm;40;8.2;10 MAÇALI;;;;;;
;133905;TOKA;50mm;;85.2;BELİRTİLMEMİŞ;;;;;;
;1340745;ÇIT ÇIT;45 mm;72;25.1;BELİRTİLMEMİŞ;;;;;;
;1341720;ÇIT ÇIT;20 mm;32;8.3;BELİRTİLMEMİŞ;;;;;;
;1342018;TOKA;18mm;;4.4;BELİRTİLMEMİŞ;;;;;;
;1343015;TOKA;15mm;24;6.8;10;;;;;;
;134401.5;TOKA;1,5cm;;;BELİRTİLMEMİŞ;;;;;;
;1345717;ÇIT ÇIT;17 mm;27;3.3;16;;;;;;
;134605;KISTIRMA;5mm;;2.5;BELİRTİLMEMİŞ;;;;;;
;134703;TOKA;30mm;;6.8;8;;;;;;
;134803;PLAKA;30mm;;3.8;8;;;;;;
;1349017;ÇANTA KLİT;17mm;;7.8;BELİRTİLMEMİŞ;;;;;;
;135001.5;ÇAN;15mm;;5.1;10;;;;;;
;1351011;TOKA;11 mm;18;2.4;BELİRTİLMEMİŞ;;;;;;
;1352020;TOKA;20 mm;32;13.5;14;;;;;;
;135304;PLAKA;40mm;;5.2;BELİRTİLMEMİŞ;;;;;;
;1354106;RİVET;06 mm;10;0.6;120;;;;;;
;1355115;RİVET;15 mm;24;0.9;72;;;;;;
;135605;TOKA;50mm;;23.4;BELİRTİLMEMİŞ;;;;;;
;1357(KISTIRMA);KISTIRMA;20mm;;1.8;BELİRTİLMEMİŞ;;;;;;
;1358815;PAPAĞAN;15 mm;24;3.6;16;;;;;;
;1359909;ÜSTTEN DİKME DÜĞME;09mm;14;0.5;40;;;;;;
;13599010;ÜSTTEN DİKME DÜĞME; 10 mm;16;0.6;48;;;;;;
;1360020;TOKA;20 mm;32;5;12;;;;;;
;1361909;ÜSTTEN DİKME DÜĞME;09 mm;14;0.9;BELİRTİLMEMİŞ;;;;;;
;1362020;ALTTAN DİKME DÜĞME;20mm;32;?;?;;;;;;
;1362015;ALTTAN DİKME DÜĞME; 15mm;24;?;?;;;;;;
;136308;SALLANTI;8mm;;0.7;BELİRTİLMEMİŞ;;;;;;
;1364911;ÜSTTEN DİKME DÜĞME;11 mm;18;1.1;BELİRTİLMEMİŞ;;;;;;
;136502.5;ÇANTA AKSESUAR;25mm;;27.6;BELİRTİLMEMİŞ;;;;;;
;1366020;TOKA;20 mm;32;2;32;;;;;;
;1367209;RİVET;09 mm;14;1;52;;;;;;
;1368;TOKA;22mm;;6.2;BELİRTİLMEMİŞ;;;;;;
;136903;TOKA;3cm;;2.7;18;;;;;;
;1370014;TOKA;14 mm;22;1.5;29;;;;;;
;1371021;SALLANTI;21 mm;34;6.7;8;;;;;;
;1372012;SALLANTI;12mm;;0.4;40;;;;;;
;1373015.5;TOKA;16 mm;26;7.9;8;;;;;;
;1374911.3;ÜSTTEN DİKME DÜĞME;11,3 mm;18;0.4;96;;;;;;
;1375;ÜRÜN YOK;ÜRÜN YOK ;;ÜRÜN YOK ;ÜRÜN YOK ;;;;;;
;1376025;TOKA;25 mm;40;7.8;6;;;;;;
;1377618;ÇIT ÇIT;18mm;;3.8;10;;;;;;
;1378207;ÇIT ÇIT;07 mm;11;0.4;28;;;;;;
;1378620;ÇIT ÇIT;20 mm;32;3;BELİRTİLMEMİŞ;;;;;;
;1379030;AGRAF;30 mm;48;ÜRÜN YOK ;ÜRÜN YOK ;;;;;;
;1380037;TOKA;37 mm;59;ÜRÜN YOK ;ÜRÜN YOK ;;;;;;
;1381025;KÖPRÜ;25 mm;40;6.4;BELİRTİLMEMİŞ;;;;;;
;1382020;TOKA;20 mm;32;7.7;8 MAÇALI;;;;;;
;"1383
TOKA + PUL";TOKA;ÜRÜN YOK ;;2.9;3 / 3;;;;;;
;1384;PAPAĞAN;ÜRÜN YOK ;;3.4;?;;;;;;
;1385020;PAPAĞAN;20mm;;3;8;;;;;;
;1386011.5;TOKA;12 mm;19;5;12;;;;;;
;138702;ÇAN;20mm;;10.7;8;;;;;;
;1388071;PİERCİNG;71 mm;114;3.4;12;;;;;;
;1389032;TOKA;32 mm;51;3.2;20;;;;;;
;139005.5;TOKA;06 mm;10;0.7;20;;;;;;
;1391028;ELCİK;28mm;;4.1;8;;;;;;
;13920125;YAKALIK;120mm;;7.6;8;;;;;;
;139303.5;ÇANTA AKSESUAR;3,5mm;;16.8;6;;;;;;
;1394040;ÇANTA AKSESUAR;40mm;;5.4;16;;;;;;
;1395;TOKA;ÜRÜN YOK ;;36.5;4;;;;;;
;1396009;AKSESUAR;9mm;;3.5;12;;;;;;
;1397031.4;KANCA;1,4mm;;4;10;;;;;;
;1398009;PAPAĞAN HALKA;9mm;;1;20;;;;;;
;1399018;ALTTAN DİKME DÜĞME;18mm;29;2.4;;;;;;;
;1399015;ALTTAN DİKME DÜĞME;15mm;24;1.6;;;;;;;
;1399021;ALTTAN DİKME DÜĞME;21mm;34;4.2;24;;;;;;
;1400802;SALLANTI;02 mm;3;ÜRÜN YOK ;ÜRÜN YOK ;;;;;;
;1401019;PLAKA;19 mm;30;1,4 gr+3,7 gr=5,1 gr;24 / 28;;;;;;,
;1402030;HALKA;30 mm;48;8.3;8;;;;;;
;1403040;HALKA;40 mm;64;10.8;6;;;;;;
;140404;AKSESUAR;04 mm;6;ÜRÜN YOK ;BELİRTİLMEMİŞ;;;;;;
;1405033;ÜSTTEN DİKME DÜĞME;33 mm;53;10.6;"Eski Kalı 4
Yeni Kalıp 8";;;;;;
;1406030;AKSESUAR;30mm;;5;?;;;;;;
;1407030;AKSESUAR;30mm;;3.7;12;;;;;;
;1408026;AKSESUAR;26mm;;1.1;10;;;;;;
;1409014;AYAR;14mm;;0.9;18;;;;;;
;1410040;AKSESUAR;40mm;;93;BELİRTİLMEMİŞ;;;;;;
;1411030;SALLANTI;30 mm;48;2.9;32;;;;;;
;1412020;PLAKA;20mm;;0.6;40;;;;;;
;141302.5;PLAKA;25mm;;3.9;BELİRTİLMEMİŞ;;;;;;
;1414050;PLAKA;50mm;;1.7;3;;;;;;
?;1415820;BAĞ UCU;20 mm;32;3;16;;;;;;
;141601.5;AGRAF;15mm;;08+0,1=0,9;36    64;;;;;;
;1417026;SALLANTI;26mm;;1.8;12;;;;;;
;1418020;SALLANTI;20mm;;0.9;12;;;;;;
;1419;PLAKA;38mm  48mm;;4,2 gr+5,6 gr=9,8 gr;5 / 5GÖZ;;;;;;
;1420;;ÜRÜN YOK ;;ÜRÜN YOK ;ÜRÜN YOK ;;;;;;
?;1421;?;ÜRÜN YOK ;;ÜRÜN YOK ;ÜRÜN YOK ;;;;;;
;1422027;TOKA;27 mm;43;1.6;20;;;;;;
;1423016;HALKA;16 mm;26;1.7;12;;;;;;
;1424021;AYAR;21 mm;34;1.3;BELİRTİLMEMİŞ;;;;;;
